"amount_deviation","bank_name","bin","card_subtype","card_type","case_address","client_hour","count_digit_in_login","day_of_week","last_domain_zone","phone_2","status"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","20","2","5","com","38","false"
"-3","PBS INTERNATIONAL A/S","457125","classic","VISA card","mixed","20","4","5","com","undefined","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","21","2","5","com","28","false"
"-3","INTESA SANPAOLO S.P.A.","534207","standard","MasterCard","mixed","21","2","5","com","71","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","lowercase","21","2","5","com","20","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","21","1","5","com","28","false"
"-3","DANSKE BANK A/S","557384","mastercard-debit","MasterCard","mixed","21","0","5","dk","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","21","0","5","it","40","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","21","2","5","com","51","false"
"-3","PBS INTERNATIONAL A/S","457108","classic","VISA card","mixed","21","2","5","com","undefined","false"
"-3","PBS INTERNATIONAL A/S","457193","classic","VISA card","mixed","22","0","5","com","undefined","false"
"-3","PBS INTERNATIONAL A/S","457176","classic","VISA card","mixed","22","4","5","com","undefined","false"
"-3","CARTASI S.P.A.","453997","classic","VISA card","mixed","22","2","5","com","71","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","22","2","5","com","28","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","22","1","5","com","24","false"
"-3","PBS INTERNATIONAL A/S","457136","classic","VISA card","mixed","22","0","5","com","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","22","3","5","com","46","false"
"-3","PBS INTERNATIONAL A/S","457176","classic","VISA card","mixed","23","0","6","dk","undefined","true"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","23","0","6","it","47","false"
"-3","TELLER A/S","549774","standard","MasterCard","mixed","23","4","6","com","undefined","false"
